name,brand,unit,vendor_id
ปลาส้ม,,pack,3
Sweet Soy Sauce DSB brand,,bottle,3
น้ำพริกแกงเขียวหอมดี,,กระป๋อง,3
น้ำพริกแกงเขียว หอมดี,,กระป๋อง,3
Hygiene gloves ,,Box,6
Pork spare rip,,Kg,5
กระปิ,,Tub,3
Coconut Milk   MAE-PLOY,,Carton,3
Sticky Rice 25 KG,,bag,3
Olyster sauce panda,,Can,3
Oyster sauce panda,,Can,3
Dry chilli,,bag,3
Pork LEG,,PC,5
Pork soft bone,,Kg,5
เส้นขนมจีน,,ห่อ,3
all purpose flour ตรา ว่าว,,ห่อ,3
Tapioca flour ตรา Erawan,,ห่อ,3
Megachef Soy Sauce,,Bottle 500ml,3
Megachef Mushroom sauce Gluten free,,Bottle,3
ถั่วลิสง ดิบ-1kg bag,kg,kg,3
แกงเลียงแม่ศรี,กระป๋อง,Can,3
แป้งซาลาเปว,,Bag,3
ข้าวหอม จิรวะดี,,กระสอบ,3
ข้าวคั่ว,,Bag,3
Freezer bag,,Pack ,6
Paper bag SO-16,,Pack ,6
Chef selected ooked prawn 26/30   promotion price,,Carton,3
Frozen coconut meat Nam Hom,,Pack,3
Megachef sweet dark soy sauce gluten free ,,Gallon,3
ผักกาดดอง,,Pack ,3
น้ำปลา Megachef ขวด,,Bottle,3
Glad wrap,,Box,6
ขนมถ้วย (แพค),,Pack,3
ขนมใส่ไส้,,(ลัง),3
Fish ball,,Pack,3
Plastic bag - Large,,Carton,6
Pork bones,,Kg,5
ผักกาดดอง,,ถุง,3
Star anise (โป๊ยกั้ก),,ห่อ,3
Black Rubbish bag ,,Pack,6
Paper bag small,,Carton,6
Paper bag large,,Carton,6
Rump steak,,Kg,5
Chicken wing,,Kg,5
Napkins ,,Box,6
แกงกะหรี่ แม่ศรี,,กระป๋อง,3
บัวลอย หอมดี,,Pack,3
Frozen Durian ,,Pack,3
Pineapple piece small can,,Small can,3
Toilet rolls,,Box,6
Pork fat mince,,Kg,5
Cooked Prawns 26/30,,Carton,3
Raw Prawn,,Carton,6
Cooked Prawns,,Carton,6
Fish Cake,,Carton,6
Cardamom ground,,Pack,3
